,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
42,chatain,25,9,34640,F,master,detective,73.96,non,0
43,chatain,24,9,44710,M,bac,geologie,29.97,non,0
44,brun,16,7,29858,M,master,geologie,76.18,non,0
45,brun,36,8,36653,F,licence,detective,74.47,non,0
46,chatain,43,5,42337,F,licence,detective,57.33,non,1
47,chatain,38,11,39854,F,doctorat,archeologie,73.22,oui,0
48,blond,37,9,32154,F,master,forage,102.95,oui,0
49,chatain,26,10,36792,F,doctorat,detective,99.05,oui,0
50,chatain,25,8,25575,M,doctorat,geologie,108.81,oui,0
51,roux,29,9,34962,M,bac,geologie,36.92,non,0
52,blond,48,14,41311,F,licence,geologie,77.58,non,1
53,chatain,47,10,32617,F,master,detective,84.29,non,0
54,chatain,53,11,36032,M,doctorat,detective,92.16,oui,0
55,brun,48,5,39932,F,licence,detective,65.51,non,1
56,chatain,33,15,32322,F,doctorat,geologie,103.35,oui,0
57,roux,36,14,38843,M,licence,detective,68.82,oui,0
58,brun,23,6,40244,F,master,archeologie,93.1,oui,0
59,chatain,65,9,40992,F,master,archeologie,79.33,oui,0
60,brun,25,11,25405,F,doctorat,detective,81.24,non,0
61,brun,20,8,40900,M,licence,geologie,61.91,non,0
62,chatain,41,7,22335,M,doctorat,geologie,83.08,non,0
63,blond,31,16,35113,M,master,geologie,101.14,oui,1
64,blond,23,7,30188,F,licence,geologie,85,non,0
65,blond,22,12,41807,M,bac,geologie,69.08,non,0
66,brun,40,11,33787,M,doctorat,forage,95.77,oui,0
67,blond,54,7,35396,M,bac,geologie,48.69,non,0
68,blond,35,9,30580,F,licence,geologie,94.24,non,0
69,chatain,46,6,42796,M,master,archeologie,80.75,oui,0
70,blond,29,8,39117,F,bac,geologie,56.36,non,0
71,chatain,45,10,32069,F,master,geologie,66.3,non,0
72,brun,42,5,42833,M,licence,geologie,67.16,non,0
73,brun,29,7,42383,M,licence,forage,66.07,oui,0
74,brun,26,8,28401,F,doctorat,detective,85.1,oui,0
75,brun,61,9,32275,M,master,geologie,91.66,non,0
76,chatain,22,15,27395,F,master,forage,87.07,non,0
77,blond,33,12,38843,M,bac,geologie,64.6,non,0
78,blond,35,8,43587,M,licence,geologie,47.01,oui,0
79,blond,26,10,33852,F,bac,geologie,75.27,non,0
80,brun,37,11,34451,F,licence,geologie,76.2,non,0
81,chatain,31,9,25740,F,doctorat,forage,97.07,non,0
82,roux,46,7,35899,M,licence,geologie,66.5,non,0
83,blond,35,14,31201,M,licence,geologie,87.35,non,0
84,blond,44,11,35865,M,master,geologie,82.39,oui,1
85,blond,21,14,33632,M,licence,geologie,37.95,non,0
86,chatain,36,10,31450,F,master,detective,89.11,oui,0
87,roux,37,12,27789,M,bac,geologie,81.83,non,0
88,blond,30,3,34821,M,master,geologie,81.13,oui,0
89,blond,39,14,39782,M,master,archeologie,54.71,oui,0
90,brun,41,6,32184,M,doctorat,forage,91.68,oui,0
91,chatain,38,11,39178,M,master,geologie,64.62,oui,0
92,brun,45,3,36206,F,licence,geologie,73.93,non,0
93,blond,23,9,28975,M,master,geologie,73.4,non,0
94,chatain,35,3,31214,F,doctorat,forage,87.67,oui,0
95,chatain,25,6,31112,M,doctorat,forage,87.69,oui,0
96,brun,56,10,33522,M,doctorat,geologie,106.21,oui,0
97,brun,46,10,29724,F,master,geologie,75.23,non,0
98,roux,19,11,29818,M,bac,geologie,89.99,non,0
99,blond,47,8,41011,M,bac,detective,51.12,non,0
100,roux,28,7,40274,M,bac,geologie,36.17,non,0
101,chatain,25,11,40667,M,master,geologie,59.06,non,0
102,brun,31,15,27918,F,licence,forage,88.57,non,0
103,chatain,40,6,27185,F,doctorat,detective,115.42,oui,0
104,chatain,30,8,31390,F,licence,archeologie,65.38,non,1
105,chatain,42,7,31662,F,master,forage,82.17,non,0
106,brun,48,13,34549,M,master,geologie,79.02,oui,0
107,blond,39,10,31230,F,licence,geologie,95.83,non,0
108,chatain,38,9,34463,F,master,geologie,51.43,non,1
109,blond,36,6,38938,M,licence,geologie,89.26,oui,1
110,roux,35,3,30140,M,master,forage,71.31,oui,0
111,blond,46,10,40090,M,master,archeologie,94.77,oui,0
112,brun,14,13,34851,F,master,forage,74.46,non,0
113,chatain,26,9,38029,M,master,geologie,63.48,non,0
114,roux,50,9,19925,F,master,geologie,118.62,non,0
115,chatain,34,6,50575,M,bac,geologie,27.09,non,0
116,blond,50,14,37151,M,licence,forage,71.5,oui,0
117,blond,44,8,38498,M,bac,detective,44.03,non,0
118,roux,32,9,24340,M,licence,geologie,89.87,non,0
119,brun,34,13,35201,F,licence,geologie,75.3,non,0
120,roux,46,9,35296,M,bac,detective,65.37,non,0
121,roux,36,9,38650,M,bac,geologie,40.65,non,0
122,brun,28,11,33974,M,master,geologie,73.38,non,0
123,blond,55,7,26237,M,master,geologie,78.58,non,0
124,brun,32,11,36192,M,master,geologie,74.06,non,1
125,brun,30,6,25036,F,master,forage,69.38,non,0
126,chatain,28,8,34022,F,doctorat,geologie,109.51,oui,0
127,brun,48,14,34885,F,licence,geologie,58.73,non,0
128,brun,34,7,30707,F,licence,forage,86.99,non,0
129,roux,25,8,29581,M,licence,detective,86.95,oui,0
130,chatain,41,12,39633,M,master,forage,82.86,oui,0
131,blond,33,5,33748,M,bac,geologie,49.26,non,0
132,blond,33,9,37206,M,licence,geologie,60.48,non,0
133,brun,52,7,45676,M,licence,geologie,55.08,non,0
134,chatain,39,12,35233,F,master,detective,89.98,oui,0
135,brun,28,13,33426,M,master,detective,54.68,oui,0
136,blond,26,6,38102,M,licence,detective,65.54,oui,0
137,brun,65,3,30439,M,doctorat,geologie,102.43,oui,1
138,blond,33,15,43145,F,bac,geologie,45.39,non,0
139,roux,30,6,39937,M,bac,geologie,42.35,non,0
140,chatain,29,10,41452,F,licence,detective,72,oui,0
141,brun,41,11,30203,F,doctorat,archeologie,81.81,oui,0
142,blond,65,10,38355,F,licence,archeologie,66.45,oui,0
143,chatain,29,8,31661,F,master,geologie,77.21,non,1
144,blond,42,9,34427,M,master,geologie,87.08,oui,1
145,blond,46,10,44708,M,bac,forage,50.04,non,0
146,brun,33,10,37521,M,master,geologie,70.78,non,0
147,chatain,41,8,36027,M,doctorat,forage,87.89,oui,0
148,chatain,41,12,44648,M,bac,geologie,83.16,oui,0
149,blond,41,9,37380,M,licence,geologie,46.17,non,0
150,chatain,31,6,40260,M,doctorat,geologie,68.36,oui,0
151,blond,35,10,35035,M,master,geologie,78.59,oui,0
152,chatain,25,6,24888,M,doctorat,geologie,103.27,oui,0
153,brun,27,2,36849,F,master,archeologie,63.62,oui,0
154,brun,55,11,32093,F,master,geologie,66.47,non,1
155,roux,46,8,30537,M,master,geologie,99.88,oui,0
156,brun,27,10,44654,M,licence,geologie,54.79,non,0
157,blond,39,6,30319,M,master,forage,82.99,non,0
158,brun,47,9,41592,M,licence,detective,51.26,oui,0
159,brun,25,10,44516,M,licence,geologie,30.1,non,0
160,brun,26,8,35192,M,master,geologie,78.6,oui,1
161,chatain,35,14,45383,M,master,geologie,41.2,non,0
162,blond,33,8,34016,M,licence,geologie,87.76,non,0
163,brun,30,11,38777,F,master,archeologie,89.77,oui,0
164,brun,10,9,38767,F,master,archeologie,89.16,oui,0
165,blond,41,13,29822,M,bac,detective,106.89,oui,0
166,chatain,41,11,38688,M,master,detective,53.96,oui,0
167,blond,44,6,39636,M,licence,forage,81.14,oui,0
168,chatain,37,8,41845,M,master,detective,68.81,oui,0
169,brun,24,8,45464,M,bac,geologie,62.18,non,0
170,chatain,28,7,26192,F,master,geologie,43.64,non,1
171,blond,32,10,34404,M,licence,geologie,84.44,oui,0
172,chatain,49,9,36429,M,doctorat,geologie,77.48,oui,0
173,brun,29,9,33647,M,master,forage,79.82,oui,0
174,blond,24,8,34635,M,licence,geologie,37.95,non,0
175,chatain,39,5,36062,F,master,detective,92.76,oui,0
176,roux,41,6,27529,M,bac,geologie,63.09,non,0
177,chatain,51,8,38787,M,master,geologie,83.2,oui,0
178,brun,19,11,34944,M,master,geologie,74.52,oui,0
179,blond,39,8,32764,M,master,forage,68.91,oui,0
180,chatain,35,11,40120,M,master,detective,37.95,oui,0
181,chatain,27,13,37183,F,master,forage,87.08,oui,0
182,blond,48,8,38887,M,bac,geologie,56.84,non,0
183,chatain,44,12,37808,M,master,forage,85.26,oui,0
184,brun,41,9,38068,F,licence,geologie,85.13,non,0
185,chatain,27,8,32194,F,doctorat,geologie,90.37,oui,0
186,chatain,30,9,33557,M,master,geologie,65.9,non,0
187,blond,26,10,30687,F,bac,geologie,78.85,non,0
188,roux,30,7,32580,M,bac,detective,37.53,non,0
189,brun,55,10,29393,F,master,forage,77.14,non,0
190,chatain,16,9,38461,F,licence,detective,74.7,non,0
191,blond,37,3,32211,M,master,geologie,84.25,non,0
192,chatain,46,11,26418,M,master,geologie,60.8,non,1
193,brun,20,11,37208,M,licence,geologie,66.9,non,1
194,brun,17,7,37927,M,licence,geologie,65.19,oui,0
195,roux,35,8,45084,F,bac,geologie,55.83,non,0
196,brun,33,6,35049,F,licence,detective,64.77,non,0
197,chatain,41,10,39570,M,doctorat,detective,67.14,oui,0
198,blond,35,11,31954,F,licence,forage,92.75,non,0
199,brun,47,13,33428,F,master,forage,73.71,non,0
200,chatain,35,15,44976,M,doctorat,geologie,83.02,oui,0
201,brun,30,9,35411,F,master,forage,87.32,oui,0
202,chatain,53,9,34831,M,doctorat,geologie,86.12,oui,0
203,blond,37,10,39375,M,bac,geologie,35.95,non,0
204,blond,47,15,29103,M,master,geologie,83.82,non,0
205,chatain,30,12,37408,F,licence,geologie,56.41,non,0
206,chatain,23,12,42563,M,master,detective,76.64,oui,0
207,brun,23,13,33267,F,master,geologie,85.68,non,0
208,chatain,19,6,33842,F,doctorat,archeologie,100.69,oui,0
209,roux,30,7,32363,F,bac,detective,79.79,non,0
210,chatain,16,13,38540,F,master,detective,86.07,oui,0
211,brun,12,10,31557,F,master,detective,115.51,oui,1
212,blond,29,5,34391,F,licence,forage,71.15,non,0
213,brun,35,4,41347,M,licence,geologie,61.99,non,0
214,blond,23,12,31454,M,master,geologie,79.23,non,0
215,brun,42,10,25871,F,doctorat,forage,118.8,non,0
216,brun,40,5,35550,M,master,geologie,73.93,non,0
217,brun,33,7,29077,F,master,geologie,66.57,non,1
218,blond,37,10,41834,F,bac,archeologie,94.06,oui,1
219,roux,14,9,32178,F,licence,detective,95.47,oui,0
220,brun,27,10,24244,F,master,geologie,105.13,non,0
221,blond,35,10,32668,M,licence,geologie,47.54,non,0
222,blond,35,9,28240,M,doctorat,geologie,69.69,oui,0
223,blond,47,9,30746,F,bac,geologie,60.95,non,0
224,brun,29,8,35566,M,licence,geologie,52.24,non,0
225,chatain,25,12,39166,F,licence,detective,62.34,non,0
226,chatain,29,9,36993,M,licence,geologie,51.39,non,0
227,brun,47,9,37292,M,licence,geologie,43.92,non,0
228,brun,31,10,34735,M,licence,geologie,73.37,non,0
229,brun,37,12,40393,M,licence,geologie,54.47,non,0
230,roux,46,17,30162,F,licence,detective,76.04,non,0
231,chatain,13,17,29115,F,doctorat,geologie,103.68,non,0
232,brun,47,11,39773,M,master,geologie,79.24,oui,1
233,brun,22,11,37137,M,licence,geologie,41.03,non,0
234,chatain,30,11,26832,F,master,geologie,90.87,non,0
235,brun,25,15,28404,F,doctorat,detective,95.05,oui,0
236,blond,47,6,31637,M,master,forage,82.33,non,1
237,chatain,21,4,29451,F,master,geologie,93.78,non,0
238,chatain,35,9,42252,M,licence,geologie,40.01,non,0
239,blond,27,11,29881,M,licence,geologie,62.57,non,0
240,chatain,21,13,42108,M,master,forage,57.88,oui,0
241,chatain,40,9,25242,F,doctorat,forage,91.19,non,0
242,brun,46,13,43821,F,licence,forage,74.31,non,0
243,chatain,36,9,37932,M,master,geologie,65.23,non,0
244,blond,33,8,31382,M,master,geologie,92.23,oui,0
245,chatain,41,14,39442,F,master,detective,77.5,oui,0
246,brun,29,10,33578,M,master,geologie,77.51,non,1
247,brun,43,14,30087,M,master,forage,74.56,non,1
248,brun,37,14,38409,M,licence,geologie,67.24,non,0
249,chatain,33,14,31308,M,master,geologie,59.07,non,1
250,brun,35,5,34569,F,master,forage,66.78,non,1
251,chatain,35,11,29068,F,doctorat,archeologie,117.36,oui,0
252,brun,36,11,35686,F,licence,geologie,76.26,non,0
253,blond,35,10,31894,M,doctorat,geologie,87.71,oui,1
254,brun,33,8,38218,F,licence,geologie,49.78,non,0
255,blond,30,12,33725,M,master,geologie,71.22,non,0
256,blond,24,13,29919,M,master,geologie,80.52,non,0
257,chatain,50,8,43433,M,licence,geologie,54.27,non,0
258,chatain,8,10,44530,F,licence,archeologie,70.58,oui,0
259,blond,35,14,35476,M,master,geologie,93.38,oui,1
260,brun,15,11,40196,F,licence,archeologie,63.51,oui,1
261,roux,29,6,35897,M,licence,detective,85.07,oui,0
262,chatain,43,10,42208,M,master,detective,76.3,oui,0
263,blond,57,3,33236,F,licence,detective,83.52,non,0
264,chatain,39,11,32664,F,master,detective,76.07,oui,0
265,blond,26,8,42966,M,master,detective,70.59,oui,0
266,brun,32,3,32460,M,master,geologie,64.21,non,0
267,blond,28,12,31146,M,doctorat,geologie,96.55,oui,1
268,chatain,32,11,33625,F,master,geologie,56.08,non,1
269,chatain,37,9,36413,M,doctorat,geologie,69.59,oui,1
270,roux,13,7,30800,F,bac,detective,46.97,non,0
271,blond,40,12,31244,M,master,detective,58.75,non,0
272,chatain,34,13,31142,F,doctorat,forage,76.68,oui,0
273,chatain,36,9,38686,M,doctorat,detective,57.57,oui,0
274,blond,44,7,33738,M,master,forage,68.11,oui,0
275,chatain,34,7,31286,F,master,forage,99.53,non,0
276,blond,23,9,30705,F,master,geologie,87.8,non,0
277,brun,39,5,33650,M,licence,geologie,60.95,non,0
278,brun,62,8,42190,M,licence,geologie,65.17,non,0
279,chatain,38,13,38698,F,licence,forage,59.3,non,0
280,chatain,31,9,28697,F,master,forage,82.09,non,0
281,blond,37,13,26803,M,licence,geologie,69.01,oui,0
282,brun,40,14,21970,F,doctorat,forage,105.2,non,0
283,brun,30,0,32969,M,doctorat,forage,96.81,oui,0
284,roux,25,9,32263,M,master,forage,66.13,oui,0
285,brun,32,13,40195,M,licence,geologie,74.4,non,0
286,chatain,26,7,39181,M,master,geologie,51.94,non,0
287,brun,39,10,29217,M,master,geologie,79.76,non,0
288,chatain,24,8,28746,F,doctorat,forage,118.65,oui,0
289,blond,23,8,31161,F,licence,archeologie,112.09,non,0
290,chatain,14,7,41795,M,master,forage,73.74,oui,0
291,blond,17,10,35119,M,bac,archeologie,89.62,non,1
292,brun,38,9,29292,F,master,geologie,72.3,non,0
293,brun,38,8,41286,M,licence,geologie,85.17,oui,0
294,brun,38,13,36354,F,master,archeologie,88.78,oui,0
295,chatain,18,8,30258,F,doctorat,archeologie,106.09,oui,0
296,roux,8,16,25825,F,master,archeologie,92.35,oui,0
297,blond,27,11,32564,M,licence,geologie,59.71,non,0
298,brun,32,12,33685,F,master,detective,75.99,oui,0
299,roux,57,12,32048,M,licence,geologie,99.55,oui,0
300,blond,30,10,42526,F,licence,detective,105.36,oui,0
301,chatain,45,11,28387,F,doctorat,detective,100.44,oui,0
302,chatain,42,10,34787,F,master,forage,84.58,oui,0
303,chatain,20,8,36256,F,master,forage,62.37,non,0
304,blond,33,12,34599,M,licence,geologie,80.7,non,0
305,chatain,39,10,33053,F,doctorat,detective,97.03,oui,0
306,brun,35,10,36679,F,master,detective,90.24,oui,0
307,roux,32,9,30236,F,bac,detective,72.04,non,0
308,blond,30,9,40385,M,licence,geologie,60.05,non,0
309,brun,23,3,34484,F,licence,forage,37.95,non,0
310,chatain,38,9,35703,F,master,geologie,77.91,non,0
311,blond,39,6,41713,F,licence,archeologie,74.06,oui,0
312,brun,43,10,28210,F,master,forage,87.16,non,1
313,chatain,58,6,28949,F,doctorat,detective,71.12,oui,0
314,brun,27,12,37321,M,licence,geologie,52.47,non,0
315,brun,34,12,36973,M,master,geologie,64.16,oui,0
316,chatain,17,13,28468,M,master,geologie,66.88,non,0
317,roux,44,7,31314,M,bac,geologie,42.98,non,0
318,chatain,43,6,33733,F,master,forage,100.38,oui,0
319,chatain,30,10,30967,M,master,geologie,52.14,non,0
320,blond,34,4,29647,F,licence,geologie,66.32,non,0
321,brun,33,3,31457,M,master,detective,69.11,oui,0
322,blond,23,10,38541,M,licence,geologie,36.16,non,0
323,chatain,29,8,32547,M,doctorat,geologie,95.79,oui,0
324,blond,29,6,33643,M,licence,geologie,52.4,non,0
325,chatain,35,9,34181,M,master,detective,51.57,non,0
326,blond,18,5,31315,M,master,geologie,85.04,oui,0
327,brun,53,7,37532,M,licence,geologie,67.54,non,0
328,brun,35,9,33433,M,master,geologie,69.15,non,0
329,chatain,27,12,29139,F,doctorat,forage,89.46,non,0
330,brun,37,9,37749,F,licence,detective,68.66,non,1
331,chatain,42,10,42988,F,licence,forage,58.31,non,0
332,blond,35,12,33491,M,master,forage,88.66,oui,0
333,chatain,39,12,33382,M,master,geologie,64.99,non,0
334,chatain,27,9,37421,M,doctorat,geologie,73.93,oui,0
335,blond,50,9,28185,M,licence,geologie,82.18,non,0
336,blond,42,8,37962,M,licence,archeologie,61,oui,0
337,blond,44,10,37718,F,licence,detective,81.42,oui,0
338,blond,35,10,40921,M,licence,geologie,74.01,oui,0
339,brun,51,10,36358,F,master,archeologie,62.22,oui,0
340,chatain,41,7,36721,F,master,archeologie,37.95,oui,0
341,blond,24,10,35829,M,licence,geologie,61.67,non,0
342,brun,41,15,34431,F,licence,geologie,95.75,non,0
343,blond,43,8,38619,M,licence,archeologie,68.4,oui,0
344,chatain,31,6,28308,F,doctorat,archeologie,108.62,oui,1
345,blond,17,12,34770,M,master,archeologie,103.3,oui,0
346,blond,19,12,38393,M,licence,forage,92.02,oui,0
347,blond,29,6,33756,M,doctorat,geologie,96.43,oui,0
348,chatain,47,15,37118,M,doctorat,geologie,73.58,oui,0
349,blond,39,12,36433,M,licence,forage,86.47,oui,1
350,brun,25,7,27842,M,master,forage,68.35,non,1
351,chatain,40,3,41180,F,master,geologie,77.37,non,0
352,blond,27,11,37714,M,licence,geologie,68.83,non,0
353,brun,42,10,28083,M,doctorat,forage,95.2,oui,0
354,brun,21,10,40127,F,licence,forage,70.13,non,0
355,brun,37,9,33905,M,doctorat,detective,95.01,oui,0
356,chatain,30,11,37173,F,doctorat,archeologie,86.04,oui,0
357,chatain,42,10,38923,F,doctorat,archeologie,81.41,oui,0
358,blond,41,9,40355,M,licence,geologie,66.19,oui,0
359,chatain,32,1,28230,F,licence,archeologie,59.35,non,1
360,brun,33,8,32787,M,licence,archeologie,78.44,non,1
361,brun,35,7,40349,F,licence,detective,78.09,oui,0
362,chatain,30,8,30797,F,master,archeologie,83.8,non,0
363,roux,48,12,41271,M,licence,geologie,102.02,oui,1
364,chatain,19,10,43902,F,licence,detective,46.42,oui,0
365,chatain,33,9,33524,M,doctorat,forage,98.64,oui,0
366,roux,43,4,31132,M,bac,forage,56.44,non,0
367,chatain,21,11,31221,F,master,forage,82.99,non,0
368,brun,26,6,39403,M,licence,geologie,75.32,non,0
369,chatain,35,3,25394,F,doctorat,forage,118.25,oui,0
370,chatain,28,12,28479,M,doctorat,geologie,105.15,oui,0
371,blond,35,14,38464,F,licence,detective,81.31,non,0
372,blond,45,9,29974,F,master,detective,91.56,non,0
373,chatain,33,9,38852,M,master,geologie,73.37,oui,0
374,chatain,35,9,29294,F,licence,detective,45.93,non,1
375,chatain,38,3,38049,M,master,detective,80.95,oui,0
376,blond,35,11,36620,M,licence,geologie,42.88,non,0
377,blond,24,15,28852,F,master,forage,103.78,oui,0
378,chatain,38,11,43465,M,master,archeologie,72.37,oui,0
379,roux,28,11,35482,M,bac,geologie,61.78,non,0
380,blond,25,11,32712,M,bac,geologie,59.76,non,0
381,chatain,37,13,31191,F,licence,detective,81.7,non,0
382,roux,37,13,33221,M,licence,geologie,51.13,non,0
383,brun,48,11,33628,F,licence,geologie,72.84,non,0
384,chatain,25,0,41290,M,master,detective,59.17,oui,0
385,roux,24,7,31189,M,licence,geologie,84.15,non,0
386,blond,51,11,39102,M,bac,geologie,61.88,non,0
387,chatain,37,15,31469,M,master,geologie,69.09,non,0
388,roux,50,8,38797,M,licence,geologie,37.95,oui,1
389,blond,30,8,35846,M,bac,geologie,73.86,non,1
390,brun,19,6,29064,F,master,detective,96.32,oui,0
391,brun,53,12,37648,F,master,archeologie,95.2,oui,0
392,blond,29,11,24352,M,master,geologie,90.4,non,0
393,blond,34,12,33588,F,licence,forage,69.63,non,0
394,chatain,19,12,23243,F,doctorat,detective,127.58,oui,0
395,chatain,30,1,30091,F,master,geologie,99.87,non,0
396,chatain,8,11,36915,M,master,geologie,69.36,non,0
397,brun,30,13,32314,F,licence,forage,65.74,non,0
398,chatain,32,12,41405,M,licence,forage,69.43,oui,0
399,brun,41,8,41766,M,licence,detective,59.33,oui,0
400,blond,37,11,36042,M,licence,geologie,63.58,non,0
401,brun,36,9,35563,M,doctorat,detective,63.92,oui,0
402,chatain,39,11,29421,F,licence,detective,56.76,non,1
403,chatain,35,16,42079,F,licence,geologie,48.51,non,0
404,brun,35,12,39121,M,licence,geologie,51.28,non,0
405,blond,10,6,39318,M,licence,forage,69.82,oui,0
406,chatain,32,10,41423,F,licence,archeologie,67.86,oui,1
407,blond,42,11,38945,M,bac,geologie,45.98,non,0
408,blond,32,14,35891,M,licence,geologie,74.99,non,0
409,blond,24,11,34436,F,licence,detective,84.5,non,0
410,blond,39,10,39427,F,bac,detective,60.44,non,0
411,blond,33,8,35240,M,master,geologie,68.01,oui,0
412,blond,24,11,31699,M,master,archeologie,92.81,oui,0
413,chatain,30,10,28281,F,doctorat,detective,98.65,oui,0
414,chatain,31,15,30005,F,master,forage,92.89,non,0
415,chatain,53,11,29989,M,master,detective,69.35,non,1
416,chatain,35,4,37957,F,master,geologie,85.85,non,0
417,brun,24,13,35628,M,master,detective,71.4,oui,0
418,chatain,25,9,33617,F,doctorat,detective,90.01,oui,0
419,chatain,31,9,25360,M,master,forage,69.73,non,1
420,chatain,36,13,35784,M,doctorat,archeologie,88.12,oui,0
421,chatain,43,11,28965,F,doctorat,archeologie,125.47,oui,0
422,roux,8,12,34060,M,licence,geologie,71.27,oui,0
423,brun,42,15,26803,M,master,forage,67.87,non,0
424,blond,30,14,32157,M,licence,detective,98.25,non,1
425,chatain,18,9,36128,F,master,archeologie,76.48,oui,0
426,chatain,29,16,47103,F,bac,detective,67.17,oui,0
427,blond,43,15,38085,M,licence,detective,75.76,oui,0
428,blond,28,11,34670,F,licence,archeologie,86.24,oui,0
429,blond,19,8,33973,F,master,detective,90.22,oui,0
430,brun,47,9,42292,F,licence,archeologie,79.65,oui,0
431,brun,36,9,37822,M,licence,geologie,65.16,non,0
432,chatain,39,6,32191,F,master,detective,91.29,oui,0
433,blond,34,6,30317,M,licence,geologie,53.96,non,0
434,brun,41,11,26114,F,master,geologie,103.85,non,0
435,brun,32,5,38908,M,master,detective,81.94,oui,0
436,brun,33,14,29976,M,master,geologie,89.37,non,0
437,blond,40,10,34100,M,doctorat,geologie,97,oui,1
438,blond,21,7,30971,M,master,forage,75.17,non,0
439,blond,25,13,41906,M,bac,geologie,45.86,non,0
440,brun,18,4,33875,M,licence,geologie,40.61,non,0
441,brun,43,8,30821,F,licence,forage,53.68,non,0
442,chatain,27,7,35555,M,master,geologie,84.8,oui,0
443,chatain,29,9,33764,M,master,geologie,71.26,non,0
444,brun,31,6,32691,F,master,geologie,93.4,non,0
445,blond,25,12,35663,M,licence,geologie,83.15,non,0
446,brun,29,11,34912,F,master,forage,89.24,oui,0
447,blond,18,13,31291,F,licence,geologie,81.45,non,0
448,chatain,39,12,30423,F,doctorat,detective,88.27,oui,0
449,blond,35,11,34161,M,licence,detective,44.08,non,0
450,chatain,24,12,32837,F,master,detective,78.37,non,0
451,blond,39,15,38591,M,licence,forage,72.83,non,0
452,roux,17,8,29611,M,licence,geologie,87.93,non,0
453,chatain,32,5,37946,F,doctorat,geologie,96.69,oui,0
454,chatain,35,10,34418,M,master,geologie,56.23,non,0
455,blond,35,9,37426,M,bac,geologie,81.96,non,0
456,blond,44,11,35191,M,master,geologie,74.45,oui,0
457,blond,27,8,40050,M,licence,archeologie,78.26,oui,0
458,brun,34,11,35418,F,master,detective,80.55,oui,0
459,blond,35,12,29185,M,master,geologie,88.37,non,0
460,chatain,37,8,35095,F,master,detective,85.45,oui,0
461,blond,19,12,36097,M,licence,detective,89.83,oui,1
462,blond,36,7,24718,M,doctorat,geologie,103.92,oui,0
463,roux,28,15,44032,M,licence,geologie,55.97,oui,0
464,brun,38,9,45541,F,bac,forage,34.81,non,0
465,blond,28,7,38938,M,licence,geologie,71.52,non,0
466,blond,53,6,36839,F,licence,archeologie,77.35,non,0
467,brun,31,8,40554,M,master,geologie,72.26,oui,1
468,blond,31,6,27948,M,master,geologie,97.67,non,0
469,blond,39,8,33746,M,licence,detective,62.59,non,0
470,brun,21,10,36116,F,master,forage,85.72,oui,0
471,brun,33,8,30505,M,master,geologie,69.83,non,1
472,chatain,47,10,27926,F,doctorat,geologie,85.8,non,0
